canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value,target_name
CNC1(C)C2CCC(C2)C1(C)C,CHEMBL267936,EC50,nM,30000.0,EC50,uM,30.0,CHRNA1
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1c[nH]c3ccccc13)C2,CHEMBL56564,Ki,nM,27000.0,Ki,nM,27000.0,CHRNA1
CN1CCC[C@H]1c1cccnc1,CHEMBL3,Ki,nM,5500.0,Ki,nM,5500.0,CHRNA1
C[N+]1(C)C2CCC1CC(OC(=O)c1c[nH]c3ccccc13)C2,CHEMBL111583,Ki,nM,3000.0,Ki,nM,3000.0,CHRNA1
CCCC(=O)N[C@@H](Cc1cccc(O)c1)C(=O)NCCCCCCCCCCCCN,CHEMBL342483,IC50,nM,104000.0,IC50,uM,104.0,CHRNA1
CCCC(=O)N[C@@H](Cc1cccc(O)c1)C(=O)NCCCCCCCCCCCCN,CHEMBL342483,IC50,nM,2430.0,IC50,uM,2.43,CHRNA1
NCCCNCCCCNCCCNC(=O)[C@H](Cc1cccc(O)c1)NC(=O)Cc1ccccc1,CHEMBL140652,IC50,nM,98200.0,IC50,uM,98.2,CHRNA1
NCCCNCCCCNCCCNC(=O)[C@H](Cc1cccc(O)c1)NC(=O)Cc1ccccc1,CHEMBL140652,IC50,nM,10100.0,IC50,uM,10.1,CHRNA1
NCCCOCCCCOCCCNC(=O)[C@H](Cc1cccc(O)c1)NC(=O)Cc1ccccc1,CHEMBL141800,IC50,nM,50900.0,IC50,uM,50.9,CHRNA1
NCCCOCCCCOCCCNC(=O)[C@H](Cc1cccc(O)c1)NC(=O)Cc1ccccc1,CHEMBL141800,IC50,nM,25300.0,IC50,uM,25.3,CHRNA1
CCCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCCOCCCCOCCCN,CHEMBL141954,IC50,nM,72700.0,IC50,uM,72.7,CHRNA1
CCCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCCOCCCCOCCCN,CHEMBL141954,IC50,nM,10900.0,IC50,uM,10.9,CHRNA1
NCCCNCCCCNCCCNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)Cc1ccccc1,CHEMBL137820,IC50,nM,249000.0,IC50,uM,249.0,CHRNA1
NCCCNCCCCNCCCNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)Cc1ccccc1,CHEMBL137820,IC50,nM,22300.0,IC50,uM,22.3,CHRNA1
